artist;song;duration_ms;year;tempo;genre;energy;key;loudness
One Direction;Best Song Ever;200106;2013;118.491;pop;0.877;1;-2.986
Ellie Goulding;Burn;231211;2014;87.016;pop, rock, Dance/Electronic;0.777;1;-5.031
Beyoncé;Sorry;232560;2016;129.988;pop, R&B;0.598;2;-7.274
Wiz Khalifa;Black and Yellow;217666;2011;164.02;hip hop, pop;0.834;2;-4.524
Loud Luxury;Body (feat. brando);163216;2017;121.958;pop, Dance/Electronic;0.764;1;-4.399
Travis Scott;SICKO MODE;312820;2018;155.008;hip hop, Dance/Electronic;0.73;8;-3.714
Sam Smith;How Do You Sleep?;202204;2019;110.567;pop;0.682;1;-4.931
Alex & Sierra;Little Do You Know;185200;2014;145.879;pop;0.292;0;-8.554
Petey Pablo;Freek-A-Leek;235186;2003;104.917;hip hop, pop;0.697;2;-3.716
Eminem;'Till I Collapse;297786;2002;171.447;hip hop;0.847;1;-3.237
R. City;Locked Away (feat. Adam Levine);227480;2015;118.413;pop;0.671;1;-5.709
Billie Eilish;lovely (with Khalid);200185;2018;115.284;pop, Dance/Electronic;0.296;4;-10.109
Dirty Vegas;Days Go By;432146;2002;126.99;Dance/Electronic;0.853;9;-8.274
Post Malone;Better Now;231266;2018;145.038;hip hop;0.578;10;-5.804
Mary J. Blige;Family Affair;265866;2001;92.887;pop, R&B;0.551;8;-3.75
Adele;Rolling in the Deep;228093;2011;104.948;pop, R&B;0.77;8;-5.114
Selena Gomez & The Scene;Love You Like A Love Song;188453;2011;117.009;pop, Dance/Electronic;0.678;1;-3.87
Blanco Brown;The Git Up;200593;2019;97.984;hip hop, country;0.678;9;-8.635
Nickelback;Rockstar;252040;2005;144.072;rock, metal;0.91;0;-3.004
Marshmello;Happier;214289;2018;100.015;pop, Dance/Electronic;0.792;5;-2.749
Charlie Puth;Done for Me (feat. Kehlani);180493;2018;112.009;pop;0.632;6;-3.692
JLS;Everybody in Love;195586;2013;140.022;pop;0.783;5;-5.971
Basshunter;Now You're Gone - Video Edit;148186;2008;147.99;pop;0.976;1;-5.503
Rag'n'Bone Man;Skin;239626;2017;170.661;R&B;0.745;0;-7.733
Avril Lavigne;Don't Tell Me;202013;2004;144.106;pop;0.795;4;-2.92
Atomic Kitten;Whole Again;185013;2001;94.019;pop;0.706;4;-4.653
Olly Murs;Up (feat. Demi Lovato);224293;2014;114.948;pop, Dance/Electronic;0.845;9;-4.676
Drake;Nonstop;238614;2018;154.983;hip hop, pop, R&B;0.412;7;-8.074
Céline Dion;That's the Way It Is;241373;1999;93.04;pop;0.886;9;-5.424
Justin Timberlake;SexyBack (feat. Timbaland);242733;2006;117.0;pop;0.583;7;-5.562
Cascada;Everytime We Touch - Radio Edit;199120;2011;142.019;hip hop, pop, Dance/Electronic;0.977;8;-5.369
Chicane;Don't Give Up;210786;2016;132.017;Dance/Electronic;0.72;10;-9.635
Daniel Powter;Bad Day;233640;2005;140.046;pop;0.785;3;-4.013
Waka Flocka Flame;No Hands (feat. Roscoe Dash & Wale);263773;2010;131.497;hip hop, pop;0.595;1;-6.366
Eminem;Not Afraid;248133;2010;114.635;hip hop;0.954;0;-1.19
Franz Ferdinand;Do You Want To;215000;2005;123.091;rock;0.944;0;-2.896
Jessie J;Domino;231840;2011;126.986;hip hop, pop;0.557;7;-4.568
Christina Aguilera;Candyman;194213;2006;172.976;pop;0.789;8;-4.713
Kesha;Your Love Is My Drug;187133;2010;120.057;pop, Dance/Electronic;0.612;1;-3.891
Fall Out Boy;Thnks fr th Mmrs;203506;2007;154.837;rock;0.891;10;-5.057
Eamon;Fuck It (I Don't Want You Back);225106;2004;68.507;set();0.653;0;-6.245
2Pac;Ghetto Gospel;238053;2004;80.569;hip hop;0.614;5;-5.352
Jamiroquai;Little L;295400;2001;121.906;pop;0.724;10;-5.373
Jeremih;Don't Tell 'Em;266840;2015;98.052;hip hop, pop, R&B;0.527;2;-5.225
Ariana Grande;Dangerous Woman;235946;2016;134.052;pop;0.604;7;-5.32
Ariana Grande;One Last Time;197266;2014;125.026;pop;0.593;8;-5.036
Evanescence;My Immortal;262533;2003;79.012;metal;0.265;9;-9.206
The Pussycat Dolls;I Hate This Part;218400;2008;111.572;pop, R&B;0.612;5;-4.371
J-Kwon;Tipsy - Club Mix;247106;2001;93.04;hip hop, pop;0.741;9;-5.827
Angie Martinez;If I Could Go! (feat. Lil' Mo & Sacario);244466;2019;195.685;pop;0.643;9;-7.486
Eric Prydz;Proper Education - Radio Edit;198567;2007;124.938;pop, Dance/Electronic;0.937;0;-4.543
Maluma;Corazón (feat. Nego do Borel);184720;2018;198.075;latin;0.738;9;-6.073
DJ Fresh;Hot Right Now (feat. RITA ORA) - Radio Edit;182333;2012;175.017;pop, Dance/Electronic;0.972;4;-1.569
Donell Jones;Where I Wanna Be;253626;1999;102.053;pop, R&B;0.396;5;-9.131
Charlie Puth;Dangerously;199133;2016;112.291;pop;0.517;2;-8.379
Twista;Overnight Celebrity;233360;2004;134.199;hip hop, pop, R&B;0.792;10;-5.435
iio;Rapture (feat.Nadia Ali);253586;2006;123.943;Dance/Electronic;0.855;8;-8.403
LL Cool J;Headsprung;267320;2004;99.916;hip hop, pop, R&B;0.786;0;-5.76
The Lumineers;Ophelia;160097;2016;76.026;pop, Folk/Acoustic;0.576;5;-6.429
P!nk;Stupid Girls;197173;2006;100.04;pop;0.886;4;-5.045
Mystikal;Shake Ya Ass;256973;2000;98.054;hip hop, pop;0.607;7;-5.658
MKTO;Classic;175426;2012;102.071;hip hop, pop;0.791;1;-4.689
Asher Roth;I Love College;241933;2009;86.444;hip hop, pop;0.826;8;-4.075
Gym Class Heroes;Cookie Jar (feat. The-Dream);216317;2008;113.053;hip hop, pop;0.668;5;-4.061
Destiny's Child;Independent Women, Pt. 1;221133;2001;97.954;pop, R&B;0.602;6;-3.782
SAYGRACE;You Don't Own Me (feat. G-Eazy);199314;2015;186.394;pop, R&B;0.664;7;-5.68
The Pussycat Dolls;Stickwitu;207506;2005;79.918;pop, R&B;0.554;9;-6.408
Usher;U Don't Have to Call;269400;2001;100.005;hip hop, pop, R&B;0.568;1;-4.958
Linkin Park;New Divide;268613;2009;117.971;rock, metal;0.808;5;-3.365
Two Door Cinema Club;What You Know;189693;2010;139.048;World/Traditional, rock, pop;0.753;6;-4.003
LeAnn Rimes;I Need You;229826;2001;144.705;pop, country;0.736;7;-7.124
Wiz Khalifa;See You Again (feat. Charlie Puth);229525;2015;80.025;hip hop, pop;0.481;10;-7.503
Kid Cudi;Day 'N' Nite (Nightmare);221240;2009;138.018;hip hop;0.443;11;-6.359
Nas;I Can;253720;2002;95.313;hip hop;0.885;6;-3.914
Paramore;Misery Business;211520;2007;172.977;pop, rock;0.906;1;-3.677
O.T. Genasis;CoCo;239573;2014;119.906;hip hop, pop;0.628;8;-5.949
Cheat Codes;No Promises (feat. Demi Lovato);223503;2017;112.956;pop, Dance/Electronic;0.667;10;-5.445
Alexandra Stan;Mr. Saxobeat;195105;2011;126.976;pop, Dance/Electronic;0.931;11;-4.152
Kesha;C'Mon;214333;2012;126.025;pop, Dance/Electronic;0.781;1;-5.448
Jessie J;Price Tag;223053;2011;175.015;hip hop, pop;0.831;5;-3.945
Ja Rule;Mesmerize;278693;2002;90.079;hip hop, pop, R&B;0.646;1;-6.653
Usher;Scream;234693;2012;127.992;hip hop, pop, R&B;0.862;7;-5.18
Red Hot Chili Peppers;Otherside;255373;1999;123.229;rock;0.795;0;-3.265
Ne-Yo;Closer;234360;2008;126.027;pop, R&B;0.745;4;-6.437
